Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R64,15,(15)David Ferrer[ESP] [yr|ev],d.,89,Florent Serra[FRA] [yr|ev],4-6 6-3 6-3 6-2,1.17,7.6%,64.4%,64.5%,54.8%,7/11,3.3%,50.4%,62.3%,46.7%,7/15,2:34,3
R64,24,(24)David Nalbandian[ARG] [yr|ev],d.,67,Xavier Malisse[BEL] [yr|ev],6-4 6-4 6-2,1.69,9.6%,53.4%,82.1%,64.7%,1/2,5.4%,53.8%,72.0%,37.2%,2/7,1:49,3
R64,74,Jo-Wilfried Tsonga[FRA] [yr|ev],d.,91,Tim Henman[GBR] [yr|ev],7-6(2) 2-6 7-5 6-4,1.22,8.4%,71.4%,78.8%,50.0%,1/4,3.8%,69.5%,71.4%,47.5%,7/10,2:37,5
R64,2,(2)Rafael Nadal[ESP] [yr|ev],d.,56,Janko Tipsarevic[SRB] [yr|ev],6-2 6-3 3-2 RET,1.71,8.6%,69.0%,67.5%,83.3%,1/2,16.2%,58.8%,72.5%,25.0%,6/11,1:37,1
R128,1,(1)Roger Federer[SUI] [yr|ev],d.,319,(Q)Scoville Jenkins[USA] [yr|ev],6-3 6-2 6-4,1.98,17.8%,63.0%,87.0%,66.7%,2/2,11.1%,66.7%,68.5%,40.7%,5/9,1:30,1
R128,120,(Q)Paul Capdeville[CHI] [yr|ev],d.,145,(Q)Rainer Schuettler[GER] [yr|ev],5-7 6-3 6-7(4) 6-4 6-3,1.13,7.3%,58.9%,62.9%,51.6%,6/14,7.3%,66.8%,55.8%,46.9%,19/31,3:39,76
R128,146,(Q)Rik De Voest[RSA] [yr|ev],d.,126,(Q)Thierry Ascione[FRA] [yr|ev],6-2 3-0 RET,1.90,15.0%,57.5%,87.0%,47.1%,1/1,2.9%,62.9%,54.5%,23.1%,2/5,0:45,N/A
R128,184,(WC)John Isner[USA] [yr|ev],d.,26,(26)Jarkko Nieminen[FIN] [yr|ev],6-7(4) 7-6(4) 7-6(5) 6-4,1.02,23.4%,63.6%,79.6%,60.7%,7/7,8.8%,68.7%,78.2%,58.7%,2/3,3:08,N/A
R128,60,Feliciano Lopez[ESP] [yr|ev],d.,21,(21)Juan Carlos Ferrero[ESP] [yr|ev],6-3 6-4 6-4,1.50,22.0%,56.1%,84.8%,55.6%,2/3,9.1%,54.5%,62.5%,52.5%,5/9,1:43,12
R128,39,Igor Andreev[RUS] [yr|ev],d.,105,Robert Kendrick[USA] [yr|ev],7-6(4) 6-3 6-4,1.32,4.0%,61.4%,74.2%,56.4%,1/3,4.6%,54.1%,69.5%,42.0%,9/13,2:10,18
R128,223,(WC)Donald Young[USA] [yr|ev],d.,93,Chris Guccione[AUS] [yr|ev],6-7(2) 6-3 6-2 6-3,1.42,5.9%,60.5%,84.7%,51.1%,2/2,6.3%,64.3%,70.7%,39.2%,7/12,2:28,N/A
R128,13,(13)Richard Gasquet[FRA] [yr|ev],d.,77,Sergio Roitman[ARG] [yr|ev],7-5 6-1 6-2,1.73,14.3%,53.2%,85.4%,55.6%,3/4,3.7%,56.8%,58.7%,40.0%,3/9,1:37,7
R128,9,(9)Tomas Berdych[CZE] [yr|ev],d.,47,Marc Gicquel[FRA] [yr|ev],6-3 7-6(0) 6-2,1.97,11.1%,55.6%,86.7%,66.7%,2/3,2.0%,42.9%,71.4%,44.6%,6/10,1:54,4
R128,87,Simone Bolelli[ITA] [yr|ev],d.,61,Julien Benneteau[FRA] [yr|ev],6-3 6-4 3-6 6-1,1.51,11.7%,59.2%,82.0%,57.1%,3/5,6.6%,66.0%,67.1%,38.9%,5/10,2:14,N/A
R128,41,Gilles Simon[FRA] [yr|ev],d.,139,(Q)Alexander Waske[GER] [yr|ev],6-4 6-1 RET,1.64,18.6%,50.8%,76.7%,62.1%,5/6,6.3%,50.0%,62.5%,37.5%,2/6,1:17,6
R128,34,Fernando Verdasco[ESP] [yr|ev],d.,20,(22)Paul Henri Mathieu[FRA] [yr|ev],3-6 1-6 6-4 6-3 6-3,0.97,5.7%,66.7%,66.0%,41.5%,11/18,5.2%,60.4%,69.1%,43.4%,4/11,3:24,7
R128,42,Arnaud Clement[FRA] [yr|ev],d.,30,(32)Ivo Karlovic[CRO] [yr|ev],7-6(5) 6-4 4-6 6-7(6) 6-4,1.19,6.0%,56.0%,75.5%,58.1%,7/11,21.3%,67.4%,70.8%,43.1%,10/15,4:06,10
