Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R64,47,Nick Kyrgios[AUS] [yr|ev],d.,34,(29)Ugo Humbert[FRA] [yr|ev],5-7 6-4 3-6 7-6(2) 6-4,1.10,19.7%,68.4%,79.8%,50.0%,2/5,16.0%,69.2%,77.8%,44.2%,6/9,3:25,13
R64,21,(18)Grigor Dimitrov[BUL] [yr|ev],d.,166,(WC)Alex Bolt[AUS] [yr|ev],7-6(1) 6-1 6-2,1.86,11.8%,68.2%,81.0%,63.0%,4/4,6.9%,69.0%,55.0%,51.9%,5/9,1:50,3
R64,16,(15)Pablo Carreno Busta[ESP] [yr|ev],d.,68,Jiri Vesely[CZE] [yr|ev],6-3 7-6(3) 2-6 6-4,1.04,2.4%,61.6%,80.5%,56.3%,6/8,33.6%,70.1%,80.0%,46.9%,1/3,2:33,10
R64,12,(11)Denis Shapovalov[CAN] [yr|ev],d.,233,(Q)Bernard Tomic[AUS] [yr|ev],6-1 6-3 6-2,1.82,19.3%,60.2%,84.0%,54.5%,7/7,6.3%,53.7%,56.9%,40.9%,5/11,1:47,10
R64,19,(20)Felix Auger Aliassime[CAN] [yr|ev],d.,105,James Duckworth[AUS] [yr|ev],6-4 6-1 6-2,1.67,27.5%,62.3%,81.4%,57.7%,0/0,4.1%,67.6%,56.0%,50.0%,4/10,1:45,6
R64,114,(Q)Aslan Karatsev[RUS] [yr|ev],d.,79,Egor Gerasimov[BLR] [yr|ev],6-0 6-1 6-0,1.88,14.7%,58.8%,72.5%,57.1%,5/5,6.8%,68.9%,39.2%,30.4%,8/17,1:33,14
R64,9,(8)Diego Schwartzman[ARG] [yr|ev],d.,210,(LL)Alexandre Muller[FRA] [yr|ev],6-2 6-0 6-3,1.76,0.0%,68.3%,68.3%,57.9%,2/4,6.8%,64.4%,40.4%,34.6%,6/15,1:32,8
R64,8,(7)Andrey Rublev[RUS] [yr|ev],d.,74,Thiago Monteiro[BRA] [yr|ev],6-4 6-4 7-6(8),1.56,17.2%,63.4%,83.1%,73.5%,4/4,9.1%,67.3%,71.6%,61.1%,7/9,2:08,5
R64,65,Feliciano Lopez[ESP] [yr|ev],d.,35,(31)Lorenzo Sonego[ITA] [yr|ev],5-7 3-6 6-3 7-5 6-4,0.97,10.4%,61.0%,79.8%,56.7%,9/11,10.6%,75.2%,75.5%,60.0%,0/3,3:18,12
R64,28,(24)Casper Ruud[NOR] [yr|ev],d.,53,Tommy Paul[USA] [yr|ev],3-6 6-2 6-4 7-5,1.11,8.3%,67.4%,66.3%,60.5%,10/13,3.4%,61.2%,67.6%,48.9%,6/11,2:43,2
R64,85,Radu Albot[MDA] [yr|ev],d.,121,(WC)Christopher Oconnell[AUS] [yr|ev],6-2 7-5 7-6(8),1.32,4.9%,73.8%,76.3%,55.6%,2/3,11.5%,63.5%,69.7%,47.4%,6/10,2:20,39
R64,91,Lloyd Harris[RSA] [yr|ev],d.,113,(WC)Alexei Popyrin[AUS] [yr|ev],6-2 1-6 6-3 6-7(5) 6-3,1.31,19.7%,64.6%,86.6%,51.1%,2/4,14.9%,58.2%,78.0%,49.2%,4/8,3:00,31
R64,192,Mackenzie Mcdonald[USA] [yr|ev],d.,25,(22)Borna Coric[CRO] [yr|ev],6-4 6-2 4-6 6-4,1.15,11.3%,71.3%,72.0%,69.7%,4/5,17.0%,66.0%,78.6%,44.4%,6/10,2:29,37
R64,33,(28)Filip Krajinovic[SRB] [yr|ev],d.,59,Pablo Andujar[ESP] [yr|ev],6-2 5-7 6-1 6-4,1.29,8.0%,52.8%,80.3%,45.8%,10/13,5.9%,68.6%,60.5%,37.8%,9/16,2:57,26
R64,4,(4)Daniil Medvedev[RUS] [yr|ev],d.,99,Roberto Carballes Baena[ESP] [yr|ev],6-2 7-5 6-1,2.01,17.1%,64.5%,85.7%,48.1%,2/4,0.0%,55.6%,47.5%,40.6%,1/8,1:44,1
