Player,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,M,PeakRank
Evan King,0.7140000000000001,0.067,1.0,0.012,1.0,0.012,0.542,0.644,0.605,0.627,5.0,0.2,0.293,3.0,0.33299999999999996,0.451,0.79,1.0,185.0
Evgeny Donskoy,0.7873333333333333,0.13177777777777777,11.11111111111111,0.06433333333333333,4.555555555555555,0.03344444444444444,0.5764444444444444,0.7297777777777779,0.4856666666666667,0.6263333333333333,13.11111111111111,0.6242222222222222,0.3078888888888889,10.666666666666666,0.38922222222222225,0.47633333333333333,0.8377777777777777,13.0,65.0
Evgeny Korolev,0.7285,0.222,12.0,0.06675,8.25,0.05425,0.5335,0.7237499999999999,0.44875,0.5975,17.5,0.66475,0.34850000000000003,11.5,0.5875,0.48475,0.8825000000000001,5.0,46.0
Fabian Marozsan,0.7335,0.2715,22.5,0.089,10.0,0.040999999999999995,0.626,0.7,0.444,0.604,24.5,0.5685,0.38349999999999995,22.5,0.4645,0.49700000000000005,0.97,4.0,36.0
Fabio Fognini,0.6464,0.22593333333333335,11.733333333333333,0.05606666666666667,13.266666666666667,0.06746666666666666,0.5443333333333334,0.6772666666666667,0.4515333333333334,0.5744666666666666,21.6,0.5082666666666666,0.36173333333333335,17.733333333333334,0.42600000000000005,0.4693333333333333,0.862,25.0,9.0
Fabrice Santoro,0.7222999999999999,0.1692,10.9,0.0645,4.8,0.028699999999999996,0.5647,0.6811,0.49349999999999994,0.5992,17.4,0.5911,0.3305,12.0,0.4112,0.4711,0.8470000000000001,16.0,17.0
Facundo Bagnis,0.6578,0.1634,7.8,0.055600000000000004,7.8,0.0716,0.5780000000000001,0.6778000000000001,0.4372,0.5706,13.2,0.4058,0.3236,11.0,0.38380000000000003,0.44719999999999993,0.76,7.0,55.0
Facundo Diaz Acosta,0.8220000000000001,0.12,5.0,0.038000000000000006,6.0,0.046,0.637,0.692,0.48550000000000004,0.619,11.5,0.6745000000000001,0.2895,7.5,0.2,0.47,0.77,3.0,47.0
Federico Coria,0.586,0.16425,6.75,0.04225,6.75,0.057499999999999996,0.62125,0.665,0.384,0.557,16.0,0.5135000000000001,0.3345,13.75,0.4225,0.4465,0.78,6.0,49.0
Federico Delbonis,0.655625,0.108875,6.625,0.04725,5.5,0.048,0.591,0.638625,0.47725,0.57225,13.875,0.522,0.301625,7.625,0.215125,0.443125,0.71375,10.0,33.0
Federico Gaio,0.72,0.1615,8.0,0.0615,7.0,0.05450000000000001,0.492,0.6875,0.499,0.59,15.0,0.6605,0.33049999999999996,6.0,0.48550000000000004,0.473,0.8049999999999999,2.0,124.0
