median_matches,player_name,current_rank,peak_rank,tour-years_A%,tour-years_DF%,tour-years_1stIn,tour-years_1st%,tour-years_2nd%,winners-errors_Wnr/Pt,winners-errors_UFE/Pt,winners-errors_FH Wnr/Pt,winners-errors_BH Wnr/Pt,serve-speed_1st Avg,serve-speed_1st T Avg,serve-speed_1st Wide Avg,serve-speed_2nd Avg,serve-speed_2nd T Avg,serve-speed_2nd Wide Avg,pbp-stats_Deuce A%,pbp-stats_Deuce SPW%,pbp-stats_Ad A%,pbp-stats_Ad SPW%,pbp-stats_Deuce RPW%,pbp-stats_Ad RPW%,mcp-serve_Percent of points won when return was put in play,mcp-serve_1st: Unret%,mcp-serve_Percent of first serve points won on either the serve or second shot,mcp-serve_Percentage of first serve points won when return was put in play,mcp-serve_D Wide%,mcp-serve_A Wide%,mcp-serve_2nd: Unret%,mcp-serve_Percent of second serve points won on either the serve or second shot,mcp-serve_Percentage of second serve points won when return was put in play,mcp-serve_2ndAgg,mcp-return_RiP%,mcp-return_Percent of points won when return was put in play,mcp-return_Return Depth Index (higher = deeper),mcp-return_Slice/chip returns as a percentage of all in-play first-serve returns,mcp-return_Return winners (and induced forced errors) as a percentage of second-serve return points,mcp-rally_RallyLen,mcp-rally_1-3 W%,mcp-rally_4-6 W%,mcp-rally_7-9 W%,mcp-rally_10+ W%,mcp-rally_FH/GS,mcp-rally_BH Slice%,mcp-rally_FHP/100,mcp-rally_BHP/100,mcp-tactics_SnV Freq,mcp-tactics_SnV W%,mcp-tactics_Net Freq,mcp-tactics_Net W%,mcp-tactics_FH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line forehand,mcp-tactics_IO Wnr%,mcp-tactics_BH: Wnr%,mcp-tactics_Winners (and induced forced errors) per (topspin) down-the-line backhand,mcp-tactics_Drop: Freq,mcp-tactics_Winners (and induced forced errors) per (baseline) dropshot,mcp-tactics_RallyAgg,mcp-tactics_ReturnAgg
29,Kaja Juvan,520,58,3.0%,3.1%,61.2%,61.5%,48.0%,14.7%,18.5%,7.8%,3.2%,97.5,102.4,94.5,77.1,79.5,75.9,2.3%,56.1%,1.1%,56.6%,45.0%,45.5%,47.0%,24.2%,36.7%,50.6%,30.8%,59.2%,14.6%,21.4%,41.7%,-14,76.1%,47.5%,2.47,13.5%,10.5%,4.3,50.1%,47.4%,47.0%,48.9%,53.8%,12.9%,2.4,-1.3,0.9%,55.0%,9.3%,70.4%,12.9%,20.5%,15.5%,7.2%,20.9%,3.3%,34.0%,4,2
34,Shelby Rogers,523,30,4.9%,3.8%,61.0%,64.9%,47.9%,15.3%,18.4%,8.2%,3.9%,100.0,103.4,97.1,84.6,86.4,84.5,4.4%,58.5%,3.6%,56.9%,41.4%,42.3%,45.9%,28.8%,40.7%,48.3%,28.5%,46.8%,17.7%,25.0%,42.3%,11,68.0%,50.5%,2.47,12.0%,10.1%,3.7,50.3%,45.2%,44.1%,46.0%,52.0%,13.9%,5.9,-0.5,0.1%,100.0%,5.9%,66.9%,14.7%,21.6%,15.5%,8.8%,24.1%,0.9%,29.9%,23,21
13,Tereza Martincova,524,40,2.2%,3.5%,70.5%,59.6%,45.1%,8.9%,16.6%,5.8%,1.8%,96.5,101.5,92.3,83.5,83.8,81.5,1.3%,54.7%,1.3%,53.8%,43.4%,45.3%,41.3%,22.3%,28.6%,43.8%,38.2%,14.5%,17.8%,20.7%,34.9%,49,70.0%,46.2%,2.54,8.2%,13.2%,4.1,47.1%,44.6%,45.3%,36.3%,55.5%,13.2%,2.2,-1.1,0.0%,-,6.7%,46.0%,9.4%,18.6%,16.7%,3.8%,7.1%,0.4%,50.0%,-69,-54
4,Valentini Grammatikopoulou,529,143,0.8%,4.7%,68.2%,54.7%,41.5%,13.8%,28.0%,7.4%,6.9%,88.8,96.2,85.8,77.8,74.0,80.0,0.9%,54.7%,1.0%,53.6%,47.3%,48.0%,38.8%,20.5%,31.0%,40.9%,20.0%,39.1%,16.0%,23.5%,33.8%,29,73.2%,49.1%,2.54,3.8%,10.7%,3.6,41.2%,49.1%,45.0%,40.7%,44.1%,10.3%,3.4,-1.5,0.0%,-,7.6%,61.7%,18.9%,23.7%,33.3%,10.9%,28.3%,2.0%,33.3%,95,67
1,Hiroko Kuwata,534,150,1.2%,4.6%,61.6%,51.2%,40.4%,9.3%,33.0%,8.0%,1.1%,N/A,N/A,N/A,N/A,N/A,N/A,0.8%,53.1%,0.9%,51.8%,46.7%,46.3%,37.5%,9.1%,18.2%,25.0%,20.0%,62.5%,7.7%,7.7%,58.3%,-55,63.2%,44.4%,3.00,0.0%,0.0%,4.4,32.1%,57.1%,20.0%,30.8%,52.4%,12.1%,-6.4,-4.4,2.6%,0.0%,8.2%,37.5%,7.6%,14.3%,0.0%,3.4%,22.2%,0.0%,-,-5,4
1,Chihiro Muramatsu,535,205,0.0%,2.8%,70.3%,53.9%,39.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2%,51.6%,0.3%,54.8%,45.1%,46.4%,42.6%,29.5%,41.0%,39.5%,12.5%,78.6%,18.2%,27.3%,50.0%,41,74.1%,38.1%,2.88,2.3%,12.5%,3.6,48.5%,39.6%,37.5%,25.0%,52.2%,14.4%,5.0,7.1,0.0%,-,7.0%,58.3%,20.5%,27.3%,11.1%,15.1%,33.3%,0.0%,-,39,42
23,Ana Konjuh,538,20,5.5%,7.7%,56.8%,66.3%,44.0%,18.7%,24.5%,9.3%,7.4%,105.9,107.7,102.0,84.6,85.1,83.6,5.5%,58.1%,3.7%,56.3%,41.7%,43.5%,47.2%,29.6%,44.0%,52.2%,40.6%,19.9%,16.8%,24.1%,40.2%,38,68.8%,51.7%,2.34,20.5%,9.5%,3.5,46.9%,49.4%,51.0%,45.5%,47.9%,12.3%,3.0,1.0,0.0%,-,8.8%,69.9%,17.6%,29.6%,29.4%,12.3%,23.4%,1.8%,47.0%,121,110
2,Amina Anshba,540,278,0.7%,2.9%,66.7%,52.2%,41.3%,8.3%,12.8%,4.3%,3.9%,N/A,N/A,N/A,N/A,N/A,N/A,0.3%,51.3%,0.6%,54.3%,51.6%,50.6%,46.4%,9.9%,13.6%,43.8%,15.8%,42.9%,7.5%,10.0%,51.4%,-38,90.1%,50.8%,2.48,2.8%,8.0%,6.8,56.5%,36.6%,39.5%,58.2%,41.0%,9.3%,-0.7,2.4,0.8%,100.0%,4.9%,76.9%,3.8%,9.1%,2.0%,3.7%,7.7%,0.7%,33.3%,-157,-155
1,Alice Robbe,505,190,2.1%,8.5%,63.8%,46.7%,23.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.9%,48.5%,1.2%,52.7%,41.4%,41.1%,38.8%,14.6%,31.7%,45.7%,66.7%,54.5%,17.6%,17.6%,21.4%,46,76.1%,28.6%,2.26,11.8%,5.9%,4.8,39.0%,31.8%,38.5%,42.9%,58.6%,16.7%,-3.8,-6.5,16.4%,50.0%,26.9%,55.2%,6.6%,21.7%,0.0%,5.8%,9.1%,1.0%,0.0%,26,14
3,Jamie Loeb,543,132,4.6%,5.6%,54.4%,62.0%,42.0%,15.9%,25.8%,9.9%,4.6%,99.0,103.5,100.9,83.2,91.3,,3.4%,56.3%,2.3%,55.2%,44.5%,44.8%,47.2%,18.5%,27.2%,43.9%,6.5%,37.1%,10.6%,18.2%,50.8%,-10,71.4%,43.8%,2.35,3.1%,16.2%,4.1,42.0%,49.4%,43.5%,46.9%,49.2%,10.3%,-0.2,3.6,0.6%,0.0%,7.5%,65.2%,14.8%,21.4%,0.0%,11.2%,27.8%,0.4%,50.0%,81,49
2,Yuliya Hatouka,544,180,4.2%,6.6%,62.8%,53.3%,36.7%,18.7%,16.8%,10.9%,3.3%,N/A,N/A,N/A,N/A,N/A,N/A,5.0%,55.1%,2.7%,55.2%,46.2%,50.9%,42.9%,29.7%,47.3%,46.2%,50.0%,10.5%,28.6%,34.3%,36.0%,47,57.0%,36.8%,2.46,9.6%,10.7%,3.1,41.8%,45.8%,46.2%,14.3%,50.4%,7.6%,6.0,-6.7,0.0%,-,4.2%,66.7%,24.5%,35.3%,18.2%,11.1%,33.3%,0.0%,-,130,106
1,Akiko Omae,547,188,4.8%,7.1%,69.0%,58.6%,30.8%,9.8%,7.5%,7.4%,3.3%,N/A,N/A,N/A,N/A,N/A,N/A,2.0%,55.0%,0.9%,53.3%,45.1%,45.0%,63.2%,28.2%,41.0%,67.9%,20.0%,75.0%,23.1%,30.8%,50.0%,97,70.5%,56.4%,3.05,10.7%,13.3%,3.4,52.4%,62.9%,55.6%,60.0%,56.1%,11.8%,15.4,11.5,0.0%,-,3.8%,100.0%,15.2%,31.6%,100.0%,15.9%,40.0%,0.0%,-,-87,-56
3,Mirjam Bjorklund,551,123,2.8%,2.0%,68.6%,59.3%,49.7%,11.7%,17.1%,7.5%,4.7%,92.1,97.4,87.0,74.1,83.0,72.7,2.3%,56.9%,1.6%,56.1%,49.8%,48.0%,42.6%,20.3%,28.8%,43.6%,36.4%,54.1%,20.3%,25.4%,40.4%,-45,67.4%,63.8%,2.57,6.4%,13.3%,4.5,51.9%,52.4%,57.9%,46.7%,58.5%,11.5%,9.5,6.1,0.0%,-,5.7%,55.0%,13.7%,14.4%,0.0%,10.9%,30.0%,0.6%,25.0%,-2,-7
1,Victoria Kan,617,151,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8%,58.2%,2.1%,56.9%,50.0%,49.7%,36.7%,27.3%,36.4%,54.2%,7.1%,71.4%,10.7%,10.7%,20.0%,-7,77.4%,35.4%,2.70,4.3%,9.5%,3.8,45.6%,35.7%,38.5%,0.0%,49.2%,22.8%,0.7,-4.4,0.0%,-,2.4%,100.0%,15.2%,21.4%,0.0%,7.8%,100.0%,2.8%,20.0%,-89,-66
1,Martina Capurro Taborda,568,149,0.0%,3.3%,65.8%,50.0%,50.0%,1.8%,31.2%,2.1%,,N/A,N/A,N/A,N/A,N/A,N/A,0.2%,49.7%,0.5%,55.8%,49.5%,47.9%,44.2%,6.5%,12.9%,44.8%,0.0%,80.0%,6.7%,6.7%,42.9%,-64,80.7%,37.0%,2.39,0.0%,6.7%,5.5,49.0%,24.0%,46.7%,40.0%,59.1%,3.6%,-0.6,-11.2,0.0%,-,3.7%,50.0%,6.2%,6.1%,10.5%,0.0%,0.0%,0.4%,0.0%,-76,-68
35,Danka Kovinic,571,46,4.5%,6.4%,54.2%,64.0%,44.9%,15.1%,22.8%,7.8%,5.2%,104.5,106.8,101.2,83.4,82.5,86.9,4.0%,55.8%,3.9%,56.2%,43.1%,44.1%,42.5%,30.5%,40.8%,47.1%,20.3%,54.5%,14.0%,19.8%,37.6%,24,70.5%,52.4%,2.43,16.3%,11.3%,3.9,46.6%,48.2%,44.4%,49.3%,50.7%,12.9%,2.9,-0.6,0.0%,-,6.9%,66.8%,12.8%,21.0%,25.7%,9.1%,25.3%,2.2%,37.0%,36,36
5,Cristina Andreea Mitu,572,68,2.3%,6.7%,64.9%,59.5%,44.4%,16.2%,21.0%,10.4%,6.1%,96.8,,,87.6,,,1.9%,55.6%,1.2%,54.3%,45.2%,44.7%,43.9%,28.4%,41.1%,44.1%,41.2%,25.7%,25.0%,26.9%,43.6%,91,71.4%,50.0%,2.72,1.5%,6.9%,3.5,44.7%,45.8%,62.5%,28.6%,44.8%,7.6%,-0.5,-1.0,0.0%,-,2.8%,55.6%,13.3%,22.2%,0.0%,8.1%,26.9%,1.0%,60.0%,32,35
3,Catherine Harrison,574,214,2.3%,9.5%,58.5%,57.6%,32.6%,14.2%,21.8%,5.1%,8.8%,98.6,102.0,104.0,88.1,92.1,85.5,2.0%,53.0%,2.1%,52.6%,46.2%,46.4%,43.4%,25.4%,32.2%,45.5%,4.0%,46.9%,15.8%,26.3%,39.6%,21,75.2%,47.7%,2.40,2.3%,17.1%,4.0,50.0%,45.0%,50.0%,36.0%,49.3%,18.2%,4.8,2.5,0.0%,-,7.7%,61.5%,11.8%,21.7%,16.7%,14.1%,20.4%,3.1%,29.4%,4,29
23,Timea Babos,576,25,5.8%,5.1%,61.3%,66.1%,44.7%,14.4%,22.1%,8.7%,3.8%,105.6,109.1,101.8,83.6,85.3,84.2,6.0%,58.7%,5.2%,57.6%,40.9%,42.4%,45.5%,31.5%,41.9%,46.3%,30.7%,53.9%,13.7%,18.6%,44.3%,20,71.2%,48.4%,2.48,14.8%,5.6%,4.1,49.1%,45.4%,44.1%,52.4%,50.2%,13.9%,-2.7,0.8,0.4%,83.3%,7.6%,65.6%,11.1%,18.6%,4.5%,8.6%,31.5%,1.2%,38.0%,18,24
1,Marina Melnikova,578,170,0.5%,8.4%,70.2%,53.3%,34.7%,17.1%,21.9%,8.5%,10.9%,N/A,N/A,N/A,N/A,N/A,N/A,1.1%,52.4%,0.4%,50.3%,47.9%,47.2%,58.1%,23.8%,33.3%,50.0%,44.4%,46.2%,31.8%,40.9%,66.7%,-3,60.0%,63.9%,2.63,43.8%,0.0%,2.7,53.8%,68.2%,71.4%,0.0%,44.2%,27.0%,24.2,9.3,0.0%,-,3.7%,25.0%,25.9%,28.6%,0.0%,14.8%,66.7%,3.5%,50.0%,76,63
13,Kateryna Bondarenko,582,29,3.0%,6.3%,61.7%,62.6%,43.5%,16.4%,21.4%,6.7%,6.9%,93.6,97.8,94.0,77.7,82.9,84.0,2.2%,54.9%,2.3%,54.1%,44.0%,44.2%,42.2%,23.9%,32.7%,45.5%,22.9%,55.1%,13.9%,21.3%,36.0%,13,71.9%,54.4%,2.43,12.7%,8.8%,4.3,45.2%,47.1%,46.4%,52.7%,50.5%,4.2%,0.2,1.9,0.1%,100.0%,9.1%,63.6%,8.0%,11.3%,0.0%,10.6%,30.1%,0.6%,36.4%,25,24
2,Diana Marcinkevica,589,196,5.5%,7.4%,52.0%,61.7%,40.5%,19.7%,21.6%,12.9%,5.4%,N/A,N/A,N/A,N/A,N/A,N/A,3.1%,56.3%,2.1%,53.2%,46.5%,47.0%,45.5%,34.9%,45.8%,48.1%,44.4%,11.5%,15.1%,24.5%,42.2%,19,80.0%,53.0%,2.23,27.8%,23.8%,3.6,47.6%,51.9%,58.8%,58.8%,48.3%,12.2%,15.3,-2.7,0.0%,-,7.0%,63.6%,22.2%,17.5%,27.3%,7.8%,27.3%,3.6%,29.4%,76,86
24,Saisai Zheng,590,34,1.6%,3.1%,65.7%,57.4%,46.3%,12.1%,18.5%,5.9%,3.9%,89.3,92.1,87.2,74.6,78.4,75.1,1.6%,53.5%,1.4%,53.2%,44.9%,46.1%,48.2%,20.0%,25.5%,48.0%,17.6%,55.8%,11.9%,16.3%,48.7%,3,77.0%,49.7%,2.41,7.4%,7.4%,4.9,48.9%,48.2%,52.7%,50.0%,50.5%,26.9%,1.8,2.4,1.5%,54.2%,12.5%,70.1%,7.1%,11.0%,14.0%,8.3%,24.3%,1.2%,18.3%,-68,-59
1,Federica Di Sarra,592,192,0.7%,5.1%,69.3%,50.5%,28.6%,22.6%,34.4%,20.6%,2.9%,N/A,N/A,N/A,N/A,N/A,N/A,1.7%,55.4%,2.1%,55.8%,50.1%,49.1%,40.2%,10.6%,27.3%,44.1%,0.0%,82.4%,4.2%,8.3%,30.4%,-76,83.9%,59.0%,2.23,8.6%,5.3%,6.7,52.9%,58.5%,42.3%,44.9%,60.4%,10.9%,5.4,-5.6,0.0%,-,8.1%,73.3%,13.0%,19.8%,22.2%,3.0%,16.7%,4.0%,39.1%,17,0
4,Fanny Stollar,593,114,7.6%,5.4%,54.9%,66.0%,42.2%,19.4%,24.2%,11.6%,4.8%,N/A,N/A,N/A,N/A,N/A,N/A,6.7%,55.9%,5.3%,55.3%,41.3%,44.0%,42.3%,38.6%,49.4%,46.3%,13.8%,66.7%,16.8%,25.5%,38.6%,43,67.2%,53.3%,2.41,30.6%,12.2%,3.4,47.7%,51.9%,50.0%,51.5%,57.2%,4.4%,1.6,3.9,0.0%,-,5.3%,68.8%,16.5%,26.3%,20.0%,11.4%,26.3%,0.0%,-,113,109
1,Jada Robinson,599,582,N/A,N/A,N/A,N/A,N/A,9.9%,28.8%,3.8%,3.8%,N/A,N/A,N/A,N/A,N/A,N/A,2.3%,50.1%,1.7%,49.1%,37.4%,41.4%,39.0%,13.9%,13.9%,41.9%,6.7%,14.3%,3.4%,6.9%,35.7%,-104,80.4%,32.4%,2.22,0.0%,6.3%,6.8,41.9%,20.0%,52.6%,37.9%,44.3%,5.8%,-1.7,-3.9,0.0%,-,3.6%,75.0%,5.8%,10.3%,0.0%,4.5%,9.5%,0.0%,-,-66,-79
1,Seone Mendez,603,198,1.1%,3.4%,62.7%,55.5%,47.3%,11.0%,21.0%,5.9%,5.3%,N/A,N/A,N/A,N/A,N/A,N/A,1.4%,55.5%,0.6%,53.5%,50.1%,50.0%,46.7%,10.0%,24.3%,54.0%,37.5%,61.1%,20.6%,20.6%,29.6%,51,75.8%,42.0%,2.61,0.0%,21.4%,4.1,47.6%,39.3%,46.4%,45.5%,47.0%,22.9%,-7.0,7.6,0.0%,-,5.0%,80.0%,12.6%,22.6%,0.0%,8.5%,25.0%,3.6%,33.3%,6,-10
1,Ekaterina Reyngold,606,226,0.0%,2.6%,65.8%,56.0%,15.4%,15.9%,33.0%,12.0%,4.8%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,42.9%,0.0%,41.2%,42.3%,38.5%,38.2%,4.2%,20.8%,52.2%,14.3%,40.0%,8.3%,8.3%,9.1%,-30,76.9%,45.0%,2.42,4.3%,0.0%,5.0,40.9%,45.0%,28.6%,50.0%,58.5%,9.3%,-4.8,-7.1,0.0%,-,8.9%,50.0%,6.1%,16.7%,100.0%,6.7%,22.2%,4.8%,30.0%,15,-5
7,Vitalia Diatchenko,608,71,2.1%,9.3%,59.9%,58.4%,39.5%,14.0%,20.8%,7.3%,4.6%,96.9,96.3,91.7,83.3,81.9,81.1,2.4%,57.7%,2.3%,55.1%,48.4%,48.8%,42.8%,23.9%,35.0%,46.8%,37.8%,6.8%,13.6%,23.5%,35.7%,4,66.9%,57.6%,2.38,10.5%,22.2%,3.3,45.3%,53.9%,52.5%,40.7%,51.4%,2.1%,7.5,5.2,0.0%,-,5.0%,57.7%,18.6%,23.3%,100.0%,16.1%,35.1%,1.9%,23.1%,147,125
1,Denisa Hindova,611,519,N/A,N/A,N/A,N/A,N/A,2.1%,12.5%,2.2%,,N/A,N/A,N/A,N/A,N/A,N/A,1.3%,50.6%,1.0%,47.3%,47.2%,45.5%,47.4%,20.5%,28.2%,48.4%,60.0%,100.0%,22.2%,33.3%,42.9%,17,83.0%,74.4%,2.59,0.0%,11.8%,5.5,69.6%,58.8%,56.3%,58.8%,81.3%,18.2%,10.7,1.4,0.0%,-,4.2%,75.0%,6.8%,8.8%,0.0%,3.3%,12.5%,0.9%,0.0%,-136,-119
2,Mara Guth,621,451,5.8%,17.3%,59.6%,48.4%,23.8%,9.4%,12.3%,5.1%,5.1%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,44.8%,0.0%,37.0%,40.7%,34.8%,44.0%,19.7%,28.9%,42.6%,100.0%,12.5%,12.5%,12.5%,50.0%,-19,80.0%,58.8%,2.37,0.0%,2.4%,5.9,46.1%,47.7%,45.8%,59.5%,49.1%,4.6%,11.2,4.4,0.0%,-,7.0%,78.6%,13.3%,21.6%,16.7%,7.8%,23.7%,0.4%,50.0%,-83,-66
1,Aya El Aouni,630,598,3.7%,6.5%,69.2%,50.0%,36.4%,10.0%,13.0%,5.2%,3.1%,N/A,N/A,N/A,N/A,N/A,N/A,3.8%,34.6%,4.2%,58.3%,29.6%,32.0%,38.1%,13.6%,18.2%,39.5%,50.0%,50.0%,0.0%,0.0%,25.0%,-119,84.6%,34.1%,2.47,2.6%,0.0%,4.8,50.0%,29.4%,33.3%,25.0%,52.5%,15.6%,3.5,-3.1,0.0%,-,6.9%,28.6%,10.5%,8.3%,0.0%,8.5%,25.0%,0.0%,-,-125,-115
1,Natalia Szabanin,647,245,2.1%,5.3%,56.9%,51.4%,37.0%,9.5%,26.2%,7.3%,1.8%,N/A,N/A,N/A,N/A,N/A,N/A,3.0%,39.4%,3.6%,42.9%,38.2%,45.2%,37.0%,14.7%,17.6%,34.5%,0.0%,88.9%,15.0%,15.0%,41.2%,9,69.2%,48.9%,2.48,24.1%,20.0%,3.7,37.1%,51.4%,38.5%,33.3%,59.2%,10.0%,2.6,-0.7,0.0%,-,6.3%,62.5%,10.7%,28.6%,0.0%,12.3%,0.0%,0.5%,0.0%,59,50
1,Vittoria Paganetti,654,654,0.0%,9.7%,58.1%,52.8%,23.1%,7.9%,35.7%,4.3%,4.3%,N/A,N/A,N/A,N/A,N/A,N/A,0.0%,40.6%,0.0%,40.0%,50.0%,46.7%,39.2%,2.8%,11.1%,51.4%,0.0%,9.1%,20.0%,20.0%,12.5%,58,81.3%,51.9%,2.67,2.9%,0.0%,6.4,50.0%,50.0%,47.1%,29.0%,51.3%,27.1%,-7.4,0.8,0.0%,-,13.5%,47.1%,3.8%,7.1%,0.0%,4.1%,10.5%,2.7%,40.0%,-50,-48
3,Pemra Ozgen,656,182,2.4%,1.7%,68.8%,54.2%,46.1%,17.1%,16.7%,9.7%,7.7%,N/A,N/A,N/A,N/A,N/A,N/A,2.2%,56.1%,1.8%,53.8%,45.6%,45.8%,44.4%,12.5%,19.1%,45.4%,44.4%,35.5%,10.3%,15.5%,42.3%,-44,74.5%,43.6%,2.32,37.0%,8.5%,5.0,44.8%,44.6%,41.3%,50.9%,54.2%,42.9%,0.6,-1.0,0.0%,-,12.2%,50.0%,6.8%,5.0%,10.5%,9.5%,26.8%,2.9%,33.3%,-96,-103
1,Julia Middendorf,657,349,5.5%,1.8%,54.5%,60.0%,44.0%,15.1%,20.2%,9.8%,3.6%,N/A,N/A,N/A,N/A,N/A,N/A,3.4%,58.6%,7.7%,46.2%,39.4%,32.3%,40.5%,23.3%,40.0%,47.8%,12.5%,56.3%,20.8%,25.0%,31.6%,-56,68.8%,50.0%,2.25,9.1%,31.8%,3.3,40.0%,51.6%,50.0%,40.0%,44.7%,5.7%,19.9,-3.8,0.0%,-,5.9%,71.4%,29.4%,58.8%,0.0%,12.0%,50.0%,0.6%,100.0%,75,49
2,Aneta Laboutkova,662,445,N/A,N/A,N/A,N/A,N/A,25.2%,3.9%,16.8%,8.4%,N/A,N/A,N/A,N/A,N/A,N/A,0.8%,51.6%,0.5%,55.0%,41.9%,43.1%,57.1%,26.1%,34.8%,58.8%,0.0%,62.5%,16.1%,35.5%,53.8%,41,66.1%,57.3%,2.38,9.8%,15.4%,3.8,45.3%,70.2%,58.1%,50.0%,58.9%,26.3%,9.2,19.6,1.0%,100.0%,10.5%,70.8%,11.8%,18.8%,15.4%,24.6%,23.5%,2.1%,14.3%,-25,-24
2,Peangtarn Plipuech,667,175,3.1%,2.6%,64.2%,57.6%,37.5%,6.3%,13.6%,3.7%,3.0%,N/A,N/A,N/A,N/A,N/A,N/A,2.6%,54.6%,1.8%,52.9%,43.3%,44.4%,34.8%,22.6%,26.9%,38.9%,41.7%,55.0%,6.3%,6.3%,30.0%,-85,73.8%,49.0%,2.47,1.4%,10.9%,5.3,52.6%,38.1%,41.7%,38.1%,52.0%,52.3%,1.2,-8.3,1.3%,50.0%,5.9%,82.4%,4.8%,6.1%,6.3%,3.2%,0.0%,2.1%,15.4%,-139,-131
1,Fiona Crawley,675,348,1.7%,7.8%,63.8%,45.9%,38.1%,7.9%,25.4%,5.9%,1.0%,88.2,87.7,89.9,78.8,81.5,78.0,2.7%,38.7%,0.0%,53.5%,40.3%,48.2%,35.6%,17.1%,22.0%,32.4%,75.0%,11.1%,15.4%,15.4%,45.5%,9,69.1%,52.6%,2.24,0.0%,16.7%,4.3,39.1%,34.8%,73.3%,41.7%,52.0%,4.1%,-2.1,-3.3,0.0%,-,3.5%,75.0%,7.8%,16.7%,0.0%,5.6%,13.3%,0.5%,100.0%,-53,-31
2,Conny Perrin,679,134,3.3%,5.1%,60.6%,61.3%,41.7%,9.4%,20.2%,6.7%,2.9%,N/A,N/A,N/A,N/A,N/A,N/A,2.8%,55.0%,1.8%,56.3%,45.1%,45.7%,43.2%,30.7%,33.3%,46.2%,16.7%,50.0%,19.4%,25.0%,37.9%,60,72.7%,34.1%,2.40,23.5%,13.0%,4.7,44.0%,37.9%,51.3%,35.7%,64.1%,42.9%,-2.6,0.0,0.0%,-,7.5%,61.1%,6.7%,15.1%,5.6%,5.8%,12.1%,0.4%,50.0%,-98,-63
1,Yuliana Lizarazo,680,335,0.8%,4.4%,63.3%,55.6%,48.4%,5.5%,8.2%,1.5%,4.5%,N/A,N/A,N/A,N/A,N/A,N/A,0.8%,56.6%,0.6%,53.3%,47.3%,49.1%,29.0%,11.1%,22.2%,43.8%,83.3%,0.0%,0.0%,0.0%,13.3%,-119,63.2%,37.5%,2.33,0.0%,9.1%,3.8,30.2%,25.0%,25.0%,16.7%,52.5%,6.4%,-18.0,11.4,0.0%,-,2.7%,100.0%,2.2%,9.1%,0.0%,20.0%,0.0%,0.0%,-,-136,-140
2,Lucie Havlickova,682,196,2.3%,8.2%,62.5%,57.4%,37.7%,9.8%,15.0%,6.8%,1.4%,N/A,N/A,N/A,N/A,N/A,N/A,7.7%,56.9%,0.0%,60.0%,39.4%,46.7%,45.8%,30.4%,36.7%,45.5%,13.3%,66.7%,22.2%,30.6%,46.4%,43,69.0%,51.7%,2.32,16.4%,15.2%,4.2,54.1%,45.9%,42.9%,50.0%,61.0%,10.2%,7.8,-0.7,0.0%,-,4.5%,36.4%,13.6%,28.2%,14.3%,4.6%,12.5%,0.0%,-,-54,-28
1,Irina Fetecau,690,207,N/A,N/A,N/A,N/A,N/A,18.8%,32.1%,13.1%,5.6%,N/A,N/A,N/A,N/A,N/A,N/A,1.2%,52.8%,1.2%,53.9%,51.6%,50.6%,34.8%,10.0%,15.0%,30.6%,33.3%,14.3%,0.0%,0.0%,50.0%,-119,91.5%,48.1%,2.52,5.6%,0.0%,6.7,43.3%,41.2%,30.4%,52.0%,51.2%,6.7%,0.3,-1.4,0.0%,-,17.0%,57.9%,10.1%,16.1%,0.0%,4.2%,9.4%,1.2%,0.0%,-27,-36
1,Caijsa Wilda Hennemann,704,283,0.3%,3.7%,69.4%,54.4%,46.1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3%,52.3%,0.0%,54.5%,51.0%,54.1%,26.3%,3.4%,13.8%,28.6%,20.0%,83.3%,9.1%,9.1%,20.0%,-23,72.9%,60.8%,2.16,17.9%,14.3%,4.8,28.6%,53.8%,30.0%,53.8%,51.3%,18.9%,2.0,-0.6,0.0%,-,9.9%,72.7%,11.5%,11.1%,0.0%,7.6%,37.5%,1.8%,25.0%,-29,-60
1,Fang Ying Xun,709,167,6.9%,4.7%,62.8%,62.6%,44.6%,22.4%,24.4%,12.0%,7.7%,N/A,N/A,N/A,N/A,N/A,N/A,4.5%,57.4%,3.5%,56.4%,41.3%,44.0%,48.1%,29.0%,42.0%,63.3%,23.1%,45.5%,14.3%,17.1%,23.3%,25,79.3%,52.1%,2.55,10.4%,5.6%,4.1,50.9%,45.8%,52.6%,60.0%,61.0%,9.6%,8.0,0.4,0.0%,-,7.5%,80.0%,16.7%,31.1%,0.0%,8.8%,23.5%,1.4%,0.0%,89,77
