Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Marcos Baghdatis,CYP,1,196,58.8%,17.6%,6,6.0%,8,8.0%,56.0%,64.3%,43.2%,55.0%,10,30.0%,33.3%,6,50.0%,44.4%,0.74,1:53
WC,Josh Goodall,GBR,1,224,78.6%,6.3%,14,11.8%,6,5.0%,52.9%,81.0%,33.9%,58.8%,8,62.5%,30.5%,4,25.0%,45.5%,0.74,2:18
,Ricardo Mello,BRA,1,175,71.4%,6.7%,3,3.6%,2,2.4%,72.3%,61.7%,56.5%,60.2%,5,20.0%,29.3%,4,25.0%,44.0%,0.74,1:42
,Juan Monaco,ARG,1,191,78.6%,6.3%,4,4.1%,5,5.2%,64.9%,69.8%,52.9%,63.9%,10,70.0%,26.6%,3,33.3%,45.5%,0.74,1:53
Q,Tuomas Ketola,FIN,1,184,87.5%,0.0%,21,22.6%,5,5.4%,61.3%,84.2%,47.2%,69.9%,4,50.0%,22.0%,0,-,46.2%,0.73,1:49
30,Robin Soderling,SWE,1,289,66.7%,13.6%,4,2.6%,5,3.2%,52.3%,63.0%,45.9%,54.8%,23,69.6%,32.1%,8,37.5%,44.3%,0.71,3:01
,Luis Horna,PER,1,249,78.9%,5.3%,11,7.8%,7,5.0%,66.0%,71.0%,37.5%,59.6%,13,69.2%,27.8%,3,33.3%,45.8%,0.69,2:39
,Stan Wawrinka,SUI,1,310,68.4%,5.0%,13,7.4%,10,5.7%,60.8%,69.2%,36.2%,56.3%,25,76.0%,29.9%,10,10.0%,44.8%,0.68,3:18
Q,Roko Karanusic,CRO,1,214,72.2%,5.6%,10,8.7%,3,2.6%,60.9%,65.7%,53.3%,60.9%,15,66.7%,26.3%,6,16.7%,44.9%,0.67,1:53
13,Tommy Robredo,ESP,1,184,53.8%,7.1%,0,0.0%,5,5.7%,69.3%,59.0%,33.3%,51.1%,12,50.0%,32.3%,12,8.3%,41.3%,0.66,1:53
WC,Alan Mackin,GBR,1,161,64.3%,13.3%,0,0.0%,2,2.4%,76.5%,60.0%,50.0%,57.6%,9,44.4%,27.6%,3,66.7%,43.5%,0.65,1:27
,Karol Beck,SVK,1,168,60.0%,13.3%,9,10.6%,3,3.5%,65.9%,64.3%,44.8%,57.6%,10,40.0%,26.5%,6,33.3%,42.3%,0.63,1:45
Q,Jamie Delgado,GBR,1,203,71.4%,6.7%,6,5.8%,5,4.8%,57.7%,56.7%,50.0%,53.8%,10,60.0%,29.3%,9,11.1%,41.9%,0.63,2:04
,Albert Montanes,ESP,1,194,88.2%,0.0%,11,10.6%,1,1.0%,65.4%,73.5%,61.1%,69.2%,7,71.4%,18.9%,0,-,45.9%,0.61,1:39
,Cyril Saulnier,FRA,1,173,46.2%,15.4%,5,5.2%,4,4.2%,52.1%,56.0%,39.1%,47.9%,13,46.2%,31.2%,5,40.0%,40.5%,0.60,1:34
32,Filippo Volandri,ITA,1,158,64.3%,13.3%,4,4.7%,7,8.2%,55.3%,68.1%,47.4%,58.8%,8,37.5%,24.7%,5,40.0%,43.0%,0.60,1:26
Q,Tobias Summerer,GER,1,162,64.3%,0.0%,10,11.6%,5,5.8%,57.0%,63.3%,51.4%,58.1%,10,50.0%,23.7%,1,0.0%,42.0%,0.57,1:38
,Jose Acasuso,ARG,1,181,66.7%,6.7%,15,14.9%,7,6.9%,64.4%,67.7%,36.1%,56.4%,6,16.7%,23.8%,4,25.0%,42.0%,0.55,1:51
,Raemon Sluiter,NED,1,169,57.1%,7.1%,10,10.6%,2,2.1%,60.6%,57.9%,48.6%,54.3%,13,53.8%,25.3%,2,50.0%,41.4%,0.55,1:43
,Christophe Rochus,BEL,1,160,50.0%,7.7%,2,2.3%,2,2.3%,59.8%,53.8%,45.7%,50.6%,11,45.5%,27.4%,5,20.0%,40.0%,0.55,1:33
,Paradorn Srichaphan,THA,1,176,64.3%,7.1%,4,4.1%,3,3.1%,58.8%,56.1%,50.0%,53.6%,12,58.3%,25.3%,7,14.3%,40.9%,0.55,1:45
