Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
,Dmitry Tursunov,RUS,1,274,85.7%,9.1%,9,6.2%,5,3.4%,60.0%,74.7%,50.0%,64.8%,8,62.5%,26.4%,4,50.0%,46.7%,0.75,3:43
Q,Roberto Bautista Agut,ESP,1,222,56.3%,25.0%,6,4.7%,9,7.0%,55.8%,62.5%,36.8%,51.2%,12,41.7%,36.6%,9,44.4%,45.0%,0.75,2:36
28,Ivan Ljubicic,CRO,1,258,83.3%,12.5%,13,9.6%,3,2.2%,58.8%,76.3%,51.8%,66.2%,11,63.6%,25.4%,8,37.5%,46.9%,0.75,3:09
,Ernests Gulbis,LAT,1,196,60.0%,12.5%,6,6.3%,8,8.3%,58.3%,66.1%,40.0%,55.2%,17,64.7%,33.0%,11,18.2%,43.9%,0.74,2:20
25,Juan Monaco,ARG,1,297,68.0%,12.5%,2,1.3%,1,0.6%,71.4%,61.8%,50.0%,58.4%,14,42.9%,30.8%,8,37.5%,45.1%,0.74,3:55
Q,Jurgen Zopp,EST,1,166,71.4%,6.7%,6,7.8%,4,5.2%,59.7%,67.4%,48.4%,59.7%,9,55.6%,29.2%,4,25.0%,43.4%,0.73,1:39
,Andreas Seppi,ITA,1,210,58.8%,17.6%,8,7.1%,6,5.3%,52.2%,59.3%,46.3%,53.1%,17,58.8%,34.0%,6,50.0%,44.3%,0.73,2:31
WC,Benjamin Mitchell,AUS,1,194,81.3%,6.3%,7,7.1%,8,8.1%,48.5%,77.1%,51.0%,63.6%,8,62.5%,26.3%,6,16.7%,45.4%,0.72,2:04
,Xavier Malisse,BEL,1,100,83.3%,16.7%,3,5.3%,2,3.5%,54.4%,74.2%,46.2%,61.4%,7,85.7%,27.9%,2,50.0%,47.0%,0.72,1:04
,Igor Kunitsyn,RUS,1,177,25.0%,30.8%,1,1.1%,3,3.3%,60.4%,54.5%,30.6%,45.1%,14,35.7%,39.5%,7,57.1%,42.4%,0.72,2:12
,Karol Beck,SVK,1,173,66.7%,6.7%,7,7.9%,2,2.2%,56.2%,62.0%,51.3%,57.3%,12,58.3%,28.6%,3,33.3%,43.4%,0.67,2:00
WC,Greg Jones,AUS,1,213,60.0%,21.1%,8,6.6%,8,6.6%,53.7%,69.2%,37.5%,54.5%,18,55.6%,30.4%,5,80.0%,44.1%,0.67,2:30
Q,Florent Serra,FRA,2,383,64.3%,10.3%,10,4.7%,5,2.3%,61.0%,59.2%,47.0%,54.5%,25,60.0%,30.0%,13,23.1%,43.6%,0.66,4:32
,Ivan Dodig,CRO,1,158,42.9%,23.1%,6,7.5%,4,5.0%,51.2%,63.4%,25.6%,45.0%,12,33.3%,35.9%,14,21.4%,40.5%,0.65,2:01
Q,Frederik Nielsen,DEN,1,166,50.0%,7.7%,0,0.0%,3,3.8%,60.0%,58.3%,34.4%,48.8%,13,53.8%,32.6%,6,16.7%,40.4%,0.64,1:53
,Benoit Paire,FRA,1,181,46.2%,7.7%,3,3.6%,6,7.2%,54.2%,62.2%,28.9%,47.0%,11,36.4%,33.7%,11,9.1%,39.8%,0.64,1:40
Q,Denis Kudla,USA,1,242,75.0%,10.5%,14,10.1%,8,5.8%,56.5%,71.8%,48.3%,61.6%,16,68.8%,24.0%,3,66.7%,45.5%,0.63,2:24
