Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
WC,Ethan Quinn,USA,1,186,60.0%,14.3%,7,6.9%,3,3.0%,59.4%,61.7%,39.0%,52.5%,11,45.5%,34.1%,5,40.0%,44.1%,0.72,2:13
,Jiri Lehecka,CZE,1,163,57.1%,7.7%,7,8.4%,1,1.2%,65.1%,63.0%,37.9%,54.2%,14,57.1%,32.5%,7,14.3%,43.6%,0.71,2:00
,Yoshihito Nishioka,JPN,1,197,73.3%,6.3%,2,1.9%,3,2.8%,51.4%,63.6%,51.9%,57.9%,11,63.6%,30.0%,1,100.0%,45.2%,0.71,2:25
LL,Arthur Cazaux,FRA,1,210,73.3%,6.7%,6,5.4%,2,1.8%,54.5%,68.9%,41.2%,56.3%,9,55.6%,30.6%,4,25.0%,44.3%,0.70,2:32
,Daniel Elahi Galan,COL,1,193,73.3%,0.0%,12,11.9%,4,4.0%,59.4%,65.0%,51.2%,59.4%,8,50.0%,28.3%,2,0.0%,44.6%,0.70,2:38
,Thanasi Kokkinakis,AUS,1,232,83.3%,5.3%,16,13.3%,10,8.3%,60.0%,76.4%,39.6%,61.7%,13,76.9%,26.8%,7,14.3%,44.8%,0.70,2:52
29,Ugo Humbert,FRA,1,175,58.3%,0.0%,3,3.4%,5,5.7%,52.9%,56.5%,51.2%,54.0%,9,44.4%,31.8%,7,0.0%,42.9%,0.69,2:23
,Jordan Thompson,AUS,1,67,50.0%,20.0%,3,9.4%,1,3.1%,46.9%,73.3%,29.4%,50.0%,7,71.4%,34.3%,1,100.0%,41.8%,0.69,0:53
25,Alexander Bublik,KAZ,1,168,53.8%,14.3%,6,6.9%,17,19.5%,48.3%,73.8%,31.1%,51.7%,10,40.0%,33.3%,4,50.0%,42.9%,0.69,1:52
,Aleksandar Vukic,AUS,1,187,73.3%,6.7%,5,5.0%,5,5.0%,61.0%,68.9%,41.0%,58.0%,12,66.7%,28.7%,2,50.0%,44.4%,0.68,2:09
,Alexei Popyrin,AUS,1,240,77.8%,10.5%,16,11.4%,4,2.9%,63.6%,65.2%,51.0%,60.0%,18,77.8%,27.0%,8,25.0%,46.3%,0.68,2:40
4,Holger Rune,DEN,1,209,61.1%,16.7%,2,1.9%,4,3.7%,61.1%,60.6%,47.6%,55.6%,14,50.0%,29.7%,6,50.0%,43.1%,0.67,2:42
Q,Stefano Travaglia,ITA,1,203,47.1%,23.5%,0,0.0%,2,1.8%,54.1%,59.3%,40.0%,50.5%,20,55.0%,33.0%,7,57.1%,42.4%,0.67,2:28
Q,Sho Shimabukuro,JPN,1,167,53.8%,13.3%,1,1.3%,2,2.5%,40.0%,53.1%,50.0%,51.2%,8,25.0%,32.2%,6,33.3%,41.3%,0.66,1:53
,Corentin Moutet,FRA,1,198,64.3%,6.7%,5,4.7%,1,0.9%,65.4%,62.9%,40.5%,55.1%,25,80.0%,29.7%,3,33.3%,43.4%,0.66,2:58
Q,Nicolas Moreno De Alboran,USA,1,175,53.8%,14.3%,8,8.6%,8,8.6%,66.7%,58.1%,32.3%,49.5%,14,57.1%,32.9%,3,66.7%,41.7%,0.65,2:19
WC,Learner Tien,USA,1,196,42.9%,15.4%,4,3.4%,6,5.2%,61.2%,53.5%,37.8%,47.4%,25,68.0%,33.8%,4,50.0%,41.8%,0.64,2:08
,Diego Schwartzman,ARG,1,162,69.2%,0.0%,0,0.0%,5,6.1%,62.2%,72.5%,35.5%,58.5%,11,63.6%,26.3%,1,0.0%,42.6%,0.63,2:08
,Milos Raonic,CAN,1,160,61.5%,7.1%,8,9.5%,8,9.5%,46.4%,82.1%,33.3%,56.0%,14,64.3%,27.6%,3,33.3%,42.5%,0.63,1:56
11,Karen Khachanov,RUS,1,167,53.8%,7.7%,6,6.8%,7,8.0%,52.3%,67.4%,31.0%,50.0%,10,40.0%,31.6%,3,33.3%,41.3%,0.63,2:20
,Yannick Hanfmann,GER,1,174,45.5%,0.0%,7,7.0%,3,3.0%,63.0%,57.1%,37.8%,50.0%,15,60.0%,29.7%,4,0.0%,41.4%,0.59,2:18
,Radu Albot,MDA,1,164,61.5%,0.0%,1,1.1%,4,4.5%,60.7%,59.3%,51.4%,56.2%,11,54.5%,25.3%,3,0.0%,42.1%,0.58,2:03
,Alexandre Muller,FRA,1,128,33.3%,9.1%,4,5.9%,5,7.4%,66.2%,57.8%,30.4%,48.5%,13,38.5%,28.3%,1,100.0%,39.1%,0.55,1:35
,Alexander Shevchenko,KAZ,1,146,58.3%,0.0%,7,9.6%,2,2.7%,61.6%,64.4%,32.1%,52.1%,10,50.0%,26.0%,1,0.0%,39.0%,0.54,1:31
,Jason Kubler,AUS,1,59,60.0%,0.0%,1,3.3%,1,3.3%,46.7%,64.3%,43.8%,53.3%,2,0.0%,24.1%,0,-,39.0%,0.52,0:50
,Facundo Diaz Acosta,ARG,1,196,87.5%,0.0%,5,4.4%,6,5.3%,66.4%,69.3%,42.1%,60.2%,9,77.8%,19.3%,0,-,42.9%,0.48,2:36
,Marco Cecchinato,ITA,1,132,41.7%,8.3%,3,4.2%,6,8.5%,53.5%,50.0%,45.5%,47.9%,11,36.4%,24.6%,1,100.0%,37.1%,0.47,1:20
,Hugo Dellien,BOL,1,149,58.3%,0.0%,2,2.4%,5,6.0%,61.4%,66.7%,37.5%,55.4%,12,58.3%,19.7%,0,-,39.6%,0.44,1:31
,Dominik Koepfer,GER,1,88,57.1%,0.0%,1,1.8%,2,3.6%,65.5%,61.1%,31.6%,50.9%,11,72.7%,21.2%,2,0.0%,39.8%,0.43,1:00
,Attila Balazs,HUN,1,117,20.0%,0.0%,0,0.0%,5,7.9%,71.4%,37.8%,27.8%,34.9%,14,42.9%,25.9%,0,-,30.8%,0.40,1:14
WC,Steve Johnson,USA,1,120,41.7%,0.0%,3,4.3%,6,8.6%,51.4%,58.3%,35.3%,47.1%,9,22.2%,12.0%,0,-,32.5%,0.23,1:20
,All Main Draw Players,,127.0,,78.5%,21.5%,,8.2%,,4.0%,60.8%,71.8%,49.4%,63.0%,,59.4%,37.0%,,40.6%,50.0%,1.00,
