Rd,wRk,,,lRk,,Score,DR,W: A%,1stIn,1st%,2nd%,BPSvd,L: A%,1stIn,1st%,2nd%,BPSvd,Time,WinnerPeakRank
Round,Ranking of winning player,,,Ranking of losing player,,,"Dominance Ratio: % of return points won
divided by % of serve points lost.",Ace rate (winner),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,Ace rate (loser),First serve percentage,First serve points won,Second serve points won,Break point opportunities saved,,Winner's peak ATP rank
R64,3,(3)Roger Federer[SUI] [yr|ev],d.,92,Adrian Ungur[ROU] [yr|ev],6-3 6-2 6-7(6) 6-3,1.33,11.5%,63.8%,78.3%,66.0%,6/6,4.0%,63.7%,70.9%,55.6%,8/12,2:27,1
R64,89,Nicolas Mahut[FRA] [yr|ev],d.,70,Martin Klizan[SVK] [yr|ev],4-6 6-4 7-6(5) 6-3,1.15,14.8%,57.0%,75.3%,56.9%,7/10,4.1%,55.1%,67.9%,56.1%,7/12,3:22,37
R64,109,(LL)David Goffin[BEL] [yr|ev],d.,139,(WC)Arnaud Clement[FRA] [yr|ev],3-6 7-6(2) 0-6 6-2 6-1,1.08,8.5%,44.9%,73.6%,43.1%,7/14,5.7%,59.9%,60.6%,42.9%,15/23,3:35,7
R64,49,Lukasz Kubot[POL] [yr|ev],d.,156,(Q)Florent Serra[FRA] [yr|ev],7-6(0) 6-2 7-6(4),1.30,7.3%,63.3%,72.5%,42.5%,2/7,1.7%,60.2%,50.7%,48.9%,4/11,2:39,41
R64,9,(9)Juan Martin del Potro[ARG] [yr|ev],d.,82,Edouard Roger-Vasselin[FRA] [yr|ev],6-7(5) 7-6(3) 6-4 6-4,1.21,6.2%,60.0%,67.9%,65.4%,6/9,7.7%,62.0%,68.2%,46.3%,3/8,3:39,3
R64,24,(21)Marin Cilic[CRO] [yr|ev],d.,41,Juan Carlos Ferrero[ESP] [yr|ev],7-6(4) 6-2 6-3,1.35,7.8%,52.2%,76.6%,58.1%,2/3,5.1%,56.6%,60.7%,51.2%,3/8,2:13,3
R64,34,(31)Kevin Anderson[RSA] [yr|ev],d.,108,(Q)Horacio Zeballos[ARG] [yr|ev],6-3 3-6 6-3 6-0,1.75,21.9%,70.8%,85.3%,53.6%,5/6,6.7%,67.6%,67.6%,38.2%,6/11,2:11,5
R64,7,(7)Tomas Berdych[CZE] [yr|ev],d.,57,Michael Llodra[FRA] [yr|ev],6-2 6-3 6-3,1.92,11.1%,61.1%,81.8%,64.3%,0/0,5.3%,66.7%,58.0%,40.0%,2/7,1:41,4
R64,6,(6)David Ferrer[ESP] [yr|ev],d.,69,Benoit Paire[FRA] [yr|ev],6-3 6-3 6-2,1.55,0.0%,72.0%,71.2%,56.5%,5/7,5.2%,58.3%,57.1%,37.5%,13/20,1:47,3
R64,30,(27)Mikhail Youzhny[RUS] [yr|ev],d.,39,Robin Haase[NED] [yr|ev],6-3 7-6(5) 6-4,1.38,4.0%,62.4%,74.6%,57.9%,6/9,4.5%,62.5%,62.9%,45.2%,6/11,2:25,8
R64,23,(20)Marcel Granollers[ESP] [yr|ev],d.,94,Malek Jaziri[TUN] [yr|ev],7-6(1) 3-6 6-1 3-6 7-5,1.13,2.0%,65.3%,70.4%,44.2%,9/15,1.7%,67.4%,60.8%,46.6%,16/23,4:27,19
