Entry,Player,Cty,M,Pts,Hld%,Brk%,A,Ace%,DF,DF%,1stIn,1st%,2nd%,SPW,BPFaced,BPSvd%,RPW,BPEarned,BPConv%,TPW,DR,Time
Seed or method of entry (Q/LL/WC/etc),,Country,Matches played,Total points played,Hold percentage,Break percentage,Aces,Ace rate,Double faults,Double fault rate,First serve percentage,First serve points won,Second serve points won,Service points won,Total break points faced,Percentage of break points saved,Return points won,Total break points generated,,Total points won,"Dominance Ratio: % of return points won
divided by % of serve points lost.",
Q,Paul Capdeville,CHI,1,325,73.9%,26.1%,8,5.2%,7,4.6%,56.9%,69.0%,40.9%,56.9%,14,57.1%,41.9%,14,42.9%,48.9%,0.97,3:42
Q,Gilles Muller,LUX,5,1362,88.8%,14.0%,130,18.5%,26,3.7%,61.7%,80.6%,48.7%,68.4%,59,79.7%,30.6%,42,35.7%,50.1%,0.97,14:52
,Jurgen Melzer,AUT,3,769,83.3%,23.3%,42,10.0%,15,3.6%,62.0%,71.0%,49.1%,62.7%,32,68.8%,36.2%,27,51.9%,50.6%,0.97,8:02
,Robin Soderling,SWE,1,248,75.0%,17.6%,18,15.5%,8,6.9%,49.1%,82.5%,47.5%,64.7%,13,69.2%,34.1%,14,21.4%,48.4%,0.96,2:21
,Dominik Hrbaty,SVK,1,259,47.4%,40.0%,3,2.2%,10,7.3%,58.4%,63.7%,35.1%,51.8%,20,50.0%,45.9%,12,66.7%,49.0%,0.95,2:49
,Bobby Reynolds,USA,2,566,76.2%,19.0%,41,15.1%,10,3.7%,55.9%,65.8%,55.0%,61.0%,26,61.5%,36.7%,30,26.7%,48.4%,0.94,6:24
Q,Robert Smeets,AUS,1,302,81.0%,9.1%,7,4.8%,4,2.8%,53.8%,69.2%,55.2%,62.8%,12,66.7%,35.0%,8,25.0%,48.3%,0.94,3:18
,Evgeny Korolev,KAZ,2,484,74.3%,20.6%,20,7.8%,13,5.1%,54.1%,79.1%,40.7%,61.5%,29,69.0%,35.7%,20,35.0%,49.4%,0.93,4:43
Q,Rui Machado,POR,2,568,80.5%,17.5%,7,2.3%,5,1.7%,64.7%,69.6%,50.0%,62.7%,24,66.7%,34.7%,15,46.7%,49.5%,0.93,2:55
,Fabio Fognini,ITA,1,278,66.7%,22.7%,5,3.6%,12,8.6%,54.7%,73.7%,39.7%,58.3%,16,56.3%,38.8%,17,29.4%,48.6%,0.93,3:00
,Marat Safin,RUS,2,505,78.6%,19.0%,16,6.2%,17,6.5%,53.8%,73.6%,50.0%,62.7%,18,50.0%,34.3%,15,53.3%,48.9%,0.92,5:23
,Guillermo Garcia Lopez,ESP,2,480,56.8%,36.1%,2,0.9%,18,7.9%,54.8%,61.6%,43.7%,53.5%,24,33.3%,42.9%,32,40.6%,47.9%,0.92,5:16
12,Richard Gasquet,FRA,1,336,77.8%,11.1%,20,11.8%,8,4.7%,54.4%,70.7%,59.7%,65.7%,12,50.0%,31.7%,6,50.0%,48.8%,0.92,3:37
,Ivan Navarro,ESP,1,279,95.2%,4.5%,21,14.9%,5,3.5%,65.2%,77.2%,57.1%,70.2%,7,85.7%,27.5%,3,33.3%,49.1%,0.92,2:56
,Hyung Taik Lee,KOR,1,290,62.5%,33.3%,6,4.1%,7,4.8%,64.8%,61.7%,43.1%,55.2%,15,40.0%,40.7%,13,61.5%,47.9%,0.91,2:57
Q,Tomas Zib,CZE,1,375,76.9%,23.1%,12,5.8%,5,2.4%,62.6%,63.6%,51.9%,59.2%,26,76.9%,37.3%,19,31.6%,49.3%,0.91,4:17
WC,Sam Warburg,USA,2,237,77.8%,20.0%,12,9.8%,5,4.1%,74.6%,64.8%,54.8%,62.3%,12,66.7%,33.9%,9,44.4%,48.5%,0.90,2:41
,Yen Hsun Lu,TPE,2,578,69.8%,23.8%,8,2.7%,14,4.8%,61.8%,63.0%,48.2%,57.3%,40,67.5%,38.6%,30,33.3%,48.1%,0.90,7:04
Q,Thiago Alves,BRA,2,545,73.7%,17.9%,10,3.4%,4,1.3%,58.2%,65.3%,46.8%,57.6%,29,65.5%,37.5%,17,41.2%,48.4%,0.88,5:56
,John Isner,USA,1,216,94.1%,0.0%,26,25.7%,3,3.0%,70.3%,81.7%,43.3%,70.3%,2,50.0%,26.1%,5,0.0%,46.8%,0.88,2:17
,Simone Bolelli,ITA,1,196,73.3%,6.7%,3,3.5%,2,2.3%,65.1%,69.6%,53.3%,64.0%,7,42.9%,31.8%,8,12.5%,45.9%,0.88,2:11
Q,Andreas Beck,GER,2,483,89.5%,10.3%,18,6.9%,14,5.4%,58.3%,72.8%,59.3%,67.2%,19,78.9%,29.0%,8,50.0%,49.5%,0.88,5:14
,Oscar Hernandez,ESP,1,297,59.1%,23.8%,3,2.0%,5,3.3%,60.8%,59.1%,46.7%,54.2%,21,57.1%,40.3%,14,35.7%,47.5%,0.88,3:12
,Marc Gicquel,FRA,1,200,75.0%,12.5%,2,2.0%,6,5.9%,56.4%,70.2%,52.3%,62.4%,14,71.4%,32.3%,2,100.0%,47.5%,0.86,2:02
,Denis Gremelmayr,GER,1,266,66.7%,15.0%,16,12.5%,7,5.5%,50.0%,67.2%,51.6%,59.4%,7,0.0%,34.8%,7,42.9%,46.6%,0.86,2:45
29,Juan Monaco,ARG,1,251,61.1%,11.1%,3,2.6%,4,3.5%,72.2%,55.4%,56.3%,55.7%,14,50.0%,37.5%,11,18.2%,45.8%,0.85,2:53
,Julien Benneteau,FRA,1,343,68.0%,19.2%,3,1.6%,9,4.9%,67.0%,62.3%,45.0%,56.6%,26,69.2%,36.6%,11,45.5%,47.2%,0.84,4:20
,Jiri Vanek,CZE,2,348,70.0%,16.7%,20,11.4%,9,5.1%,58.5%,68.9%,47.9%,60.2%,13,30.8%,33.1%,12,41.7%,46.8%,0.83,3:31
,Eduardo Schwank,ARG,1,298,82.6%,13.0%,13,8.0%,3,1.8%,63.8%,71.2%,47.5%,62.6%,14,71.4%,31.1%,6,50.0%,48.3%,0.83,3:06
,Sebastien Grosjean,FRA,1,261,80.0%,4.8%,22,17.2%,4,3.1%,53.9%,81.2%,47.5%,65.6%,7,42.9%,28.6%,5,20.0%,46.7%,0.83,2:50
Q,Ryler Deheart,USA,2,491,73.7%,12.5%,23,9.6%,10,4.2%,54.0%,69.0%,50.9%,60.7%,27,63.0%,32.5%,12,41.7%,46.2%,0.83,5:24
,Donald Young,USA,1,294,71.4%,13.6%,6,4.3%,6,4.3%,59.4%,63.4%,48.2%,57.2%,15,60.0%,35.3%,13,23.1%,45.6%,0.82,2:49
,Teymuraz Gabashvili,RUS,1,309,90.9%,8.7%,13,7.9%,12,7.3%,55.5%,70.3%,56.2%,64.0%,17,88.2%,28.3%,6,33.3%,47.2%,0.79,3:24
,Albert Montanes,ESP,1,217,78.9%,15.8%,3,2.7%,2,1.8%,57.3%,69.8%,57.4%,64.5%,5,20.0%,28.0%,9,33.3%,46.5%,0.79,2:08
Q,Stephane Bohli,SUI,1,220,73.7%,10.5%,15,13.6%,3,2.7%,47.3%,75.0%,50.0%,61.8%,11,54.5%,30.0%,4,50.0%,45.9%,0.79,2:25
,Frederico Gil,POR,1,214,66.7%,11.8%,6,5.2%,3,2.6%,67.8%,62.8%,54.1%,60.0%,16,62.5%,31.3%,6,33.3%,46.7%,0.78,2:09
Q,Ryan Sweeting,USA,1,262,76.2%,10.0%,6,4.1%,4,2.7%,75.0%,62.2%,48.6%,58.8%,17,70.6%,31.6%,4,50.0%,46.9%,0.77,2:29
Q,Rik De Voest,RSA,1,204,71.4%,6.7%,1,1.0%,4,4.2%,52.1%,74.0%,43.5%,59.4%,8,50.0%,31.5%,7,14.3%,44.6%,0.77,2:12
,Thomas Johansson,SWE,1,210,73.3%,6.3%,8,8.5%,4,4.3%,48.9%,73.9%,45.8%,59.6%,10,60.0%,31.0%,9,11.1%,43.8%,0.77,2:10
,Nicolas Mahut,FRA,1,274,91.3%,4.3%,19,13.1%,11,7.6%,58.6%,81.2%,51.7%,69.0%,5,60.0%,24.0%,4,25.0%,47.8%,0.77,2:44
,Guillermo Canas,ARG,1,258,60.0%,26.3%,7,5.0%,9,6.4%,46.4%,60.0%,44.0%,51.4%,20,60.0%,36.4%,13,38.5%,44.6%,0.75,3:24
,Frank Dancevic,CAN,1,192,80.0%,0.0%,10,10.5%,2,2.1%,55.8%,79.2%,45.2%,64.2%,6,50.0%,26.8%,2,0.0%,45.3%,0.75,1:44
,Santiago Ventura,ESP,1,247,65.0%,10.5%,9,6.9%,11,8.5%,50.8%,72.7%,42.2%,57.7%,9,22.2%,30.8%,6,33.3%,44.9%,0.73,2:39
WC,Amer Delic,BIH,1,184,69.2%,0.0%,13,14.8%,6,6.8%,51.1%,73.3%,46.5%,60.2%,7,42.9%,29.2%,1,0.0%,44.0%,0.73,1:50
